{ GO:0005634 } => { GO:0016070 }, sup=497 conf=0.56 lift=2.36
{ GO:0016070 } => { GO:0005634 }, sup=497 conf=0.85 lift=2.36
{ PMID:16537370 } => { GO:0016787 PMID:16922378 GO:0008233 GO:0030163 PATH:03050 PMID:15917626 PMID:11922673 PMID:10068451 PMID:10872471 PMID:8861011 PMID:7697119 PMID:9221750 PMID:17431397 }, sup=14 conf=1.0 lift=176.0
{ PMID:9221750 } => { GO:0016787 PMID:16922378 GO:0008233 GO:0030163 PATH:03050 PMID:15917626 PMID:11922673 PMID:10068451 PMID:10872471 PMID:8861011 PMID:7697119 PMID:17431397 PMID:16537370 }, sup=14 conf=1.0 lift=176.0
{ PMID:7697119 } => { GO:0016787 PMID:16922378 GO:0008233 GO:0030163 PATH:03050 PMID:15917626 PMID:11922673 PMID:10068451 PMID:10872471 PMID:8861011 PMID:9221750 PMID:17431397 PMID:16537370 }, sup=14 conf=1.0 lift=176.0
{ PMID:8861011 } => { GO:0016787 PMID:16922378 GO:0008233 GO:0030163 PATH:03050 PMID:15917626 PMID:11922673 PMID:10068451 PMID:10872471 PMID:7697119 PMID:9221750 PMID:17431397 PMID:16537370 }, sup=14 conf=1.0 lift=176.0
{ PMID:10872471 } => { GO:0016787 PMID:16922378 GO:0008233 GO:0030163 PATH:03050 PMID:15917626 PMID:11922673 PMID:10068451 PMID:8861011 PMID:7697119 PMID:9221750 PMID:17431397 PMID:16537370 }, sup=14 conf=1.0 lift=176.0
{ PMID:10068451 } => { GO:0016787 PMID:16922378 GO:0008233 GO:0030163 PATH:03050 PMID:15917626 PMID:11922673 PMID:10872471 PMID:8861011 PMID:7697119 PMID:9221750 PMID:17431397 PMID:16537370 }, sup=14 conf=1.0 lift=176.0
{ GO:0005737 } => { GO:0005739 PMID:16823961 }, sup=457 conf=0.29 lift=1.56
{ PMID:1108023 } => { GO:0005737 GO:0016874 GO:0006412 PATH:00970 }, sup=32 conf=1.0 lift=77.0
{ PATH:00970 } => { GO:0005737 GO:0016874 GO:0006412 PMID:1108023 }, sup=32 conf=1.0 lift=77.0
{ PMID:16823961 } => { GO:0005737 GO:0005739 }, sup=457 conf=1.0 lift=4.63
{ GO:0005739 } => { GO:0005737 PMID:16823961 }, sup=457 conf=0.86 lift=4.64
{ PMID:16908520 } => { GO:0005737 GO:0016020 GO:0005739 GO:0005740 PMID:16823961 PMID:14576278 GO:0006091 PMID:16641319 GO:0016491 PATH:00190 PMID:2826438 PMID:3036820 PMID:6088503 PMID:16597436 PMID:10692548 PMID:17145759 PMID:9478928 PMID:10971589 PMID:10764779 PMID:15039445 PMID:4309989 PMID:6282857 PMID:3036818 PMID:16987808 PMID:11700316 PMID:10531315 PMID:4358612 PMID:11148026 PMID:12788490 PMID:2842335 PMID:12791689 PMID:2163487 PMID:6294076 PMID:12377760 PMID:12782631 PMID:17383607 PMID:171256 }, sup=9 conf=1.0 lift=273.78
{ PMID:17383607 } => { GO:0005737 GO:0016020 GO:0005739 GO:0005740 PMID:16823961 PMID:14576278 GO:0006091 PMID:16641319 GO:0016491 PATH:00190 PMID:2826438 PMID:3036820 PMID:6088503 PMID:16597436 PMID:10692548 PMID:17145759 PMID:9478928 PMID:10971589 PMID:10764779 PMID:15039445 PMID:4309989 PMID:6282857 PMID:3036818 PMID:16987808 PMID:11700316 PMID:10531315 PMID:4358612 PMID:11148026 PMID:12788490 PMID:2842335 PMID:12791689 PMID:2163487 PMID:6294076 PMID:12377760 PMID:12782631 PMID:171256 PMID:16908520 }, sup=9 conf=1.0 lift=273.78
{ PMID:12782631 } => { GO:0005737 GO:0016020 GO:0005739 GO:0005740 PMID:16823961 PMID:14576278 GO:0006091 PMID:16641319 GO:0016491 PATH:00190 PMID:2826438 PMID:3036820 PMID:6088503 PMID:16597436 PMID:10692548 PMID:17145759 PMID:9478928 PMID:10971589 PMID:10764779 PMID:15039445 PMID:4309989 PMID:6282857 PMID:3036818 PMID:16987808 PMID:11700316 PMID:10531315 PMID:4358612 PMID:11148026 PMID:12788490 PMID:2842335 PMID:12791689 PMID:2163487 PMID:6294076 PMID:12377760 PMID:17383607 PMID:171256 PMID:16908520 }, sup=9 conf=1.0 lift=273.78
{ PMID:12377760 } => { GO:0005737 GO:0016020 GO:0005739 GO:0005740 PMID:16823961 PMID:14576278 GO:0006091 PMID:16641319 GO:0016491 PATH:00190 PMID:2826438 PMID:3036820 PMID:6088503 PMID:16597436 PMID:10692548 PMID:17145759 PMID:9478928 PMID:10971589 PMID:10764779 PMID:15039445 PMID:4309989 PMID:6282857 PMID:3036818 PMID:16987808 PMID:11700316 PMID:10531315 PMID:4358612 PMID:11148026 PMID:12788490 PMID:2842335 PMID:12791689 PMID:2163487 PMID:6294076 PMID:12782631 PMID:17383607 PMID:171256 PMID:16908520 }, sup=9 conf=1.0 lift=273.78
{ PMID:6294076 } => { GO:0005737 GO:0016020 GO:0005739 GO:0005740 PMID:16823961 PMID:14576278 GO:0006091 PMID:16641319 GO:0016491 PATH:00190 PMID:2826438 PMID:3036820 PMID:6088503 PMID:16597436 PMID:10692548 PMID:17145759 PMID:9478928 PMID:10971589 PMID:10764779 PMID:15039445 PMID:4309989 PMID:6282857 PMID:3036818 PMID:16987808 PMID:11700316 PMID:10531315 PMID:4358612 PMID:11148026 PMID:12788490 PMID:2842335 PMID:12791689 PMID:2163487 PMID:12377760 PMID:12782631 PMID:17383607 PMID:171256 PMID:16908520 }, sup=9 conf=1.0 lift=273.78
{ PMID:2163487 } => { GO:0005737 GO:0016020 GO:0005739 GO:0005740 PMID:16823961 PMID:14576278 GO:0006091 PMID:16641319 GO:0016491 PATH:00190 PMID:2826438 PMID:3036820 PMID:6088503 PMID:16597436 PMID:10692548 PMID:17145759 PMID:9478928 PMID:10971589 PMID:10764779 PMID:15039445 PMID:4309989 PMID:6282857 PMID:3036818 PMID:16987808 PMID:11700316 PMID:10531315 PMID:4358612 PMID:11148026 PMID:12788490 PMID:2842335 PMID:12791689 PMID:6294076 PMID:12377760 PMID:12782631 PMID:17383607 PMID:171256 PMID:16908520 }, sup=9 conf=1.0 lift=273.78
{ PMID:12791689 } => { GO:0005737 GO:0016020 GO:0005739 GO:0005740 PMID:16823961 PMID:14576278 GO:0006091 PMID:16641319 GO:0016491 PATH:00190 PMID:2826438 PMID:3036820 PMID:6088503 PMID:16597436 PMID:10692548 PMID:17145759 PMID:9478928 PMID:10971589 PMID:10764779 PMID:15039445 PMID:4309989 PMID:6282857 PMID:3036818 PMID:16987808 PMID:11700316 PMID:10531315 PMID:4358612 PMID:11148026 PMID:12788490 PMID:2842335 PMID:2163487 PMID:6294076 PMID:12377760 PMID:12782631 PMID:17383607 PMID:171256 PMID:16908520 }, sup=9 conf=1.0 lift=273.78
{ PMID:2842335 } => { GO:0005737 GO:0016020 GO:0005739 GO:0005740 PMID:16823961 PMID:14576278 GO:0006091 PMID:16641319 GO:0016491 PATH:00190 PMID:2826438 PMID:3036820 PMID:6088503 PMID:16597436 PMID:10692548 PMID:17145759 PMID:9478928 PMID:10971589 PMID:10764779 PMID:15039445 PMID:4309989 PMID:6282857 PMID:3036818 PMID:16987808 PMID:11700316 PMID:10531315 PMID:4358612 PMID:11148026 PMID:12788490 PMID:12791689 PMID:2163487 PMID:6294076 PMID:12377760 PMID:12782631 PMID:17383607 PMID:171256 PMID:16908520 }, sup=9 conf=1.0 lift=273.78
{ PMID:12788490 } => { GO:0005737 GO:0016020 GO:0005739 GO:0005740 PMID:16823961 PMID:14576278 GO:0006091 PMID:16641319 GO:0016491 PATH:00190 PMID:2826438 PMID:3036820 PMID:6088503 PMID:16597436 PMID:10692548 PMID:17145759 PMID:9478928 PMID:10971589 PMID:10764779 PMID:15039445 PMID:4309989 PMID:6282857 PMID:3036818 PMID:16987808 PMID:11700316 PMID:10531315 PMID:4358612 PMID:11148026 PMID:2842335 PMID:12791689 PMID:2163487 PMID:6294076 PMID:12377760 PMID:12782631 PMID:17383607 PMID:171256 PMID:16908520 }, sup=9 conf=1.0 lift=273.78
{ PMID:11148026 } => { GO:0005737 GO:0016020 GO:0005739 GO:0005740 PMID:16823961 PMID:14576278 GO:0006091 PMID:16641319 GO:0016491 PATH:00190 PMID:2826438 PMID:3036820 PMID:6088503 PMID:16597436 PMID:10692548 PMID:17145759 PMID:9478928 PMID:10971589 PMID:10764779 PMID:15039445 PMID:4309989 PMID:6282857 PMID:3036818 PMID:16987808 PMID:11700316 PMID:10531315 PMID:4358612 PMID:12788490 PMID:2842335 PMID:12791689 PMID:2163487 PMID:6294076 PMID:12377760 PMID:12782631 PMID:17383607 PMID:171256 PMID:16908520 }, sup=9 conf=1.0 lift=273.78
{ PMID:10531315 } => { GO:0005737 GO:0016020 GO:0005739 GO:0005740 PMID:16823961 PMID:14576278 GO:0006091 PMID:16641319 GO:0016491 PATH:00190 PMID:2826438 PMID:3036820 PMID:6088503 PMID:16597436 PMID:10692548 PMID:17145759 PMID:9478928 PMID:10971589 PMID:10764779 PMID:15039445 PMID:4309989 PMID:6282857 PMID:3036818 PMID:16987808 PMID:11700316 PMID:4358612 PMID:11148026 PMID:12788490 PMID:2842335 PMID:12791689 PMID:2163487 PMID:6294076 PMID:12377760 PMID:12782631 PMID:17383607 PMID:171256 PMID:16908520 }, sup=9 conf=1.0 lift=273.78
{ PMID:11700316 } => { GO:0005737 GO:0016020 GO:0005739 GO:0005740 PMID:16823961 PMID:14576278 GO:0006091 PMID:16641319 GO:0016491 PATH:00190 PMID:2826438 PMID:3036820 PMID:6088503 PMID:16597436 PMID:10692548 PMID:17145759 PMID:9478928 PMID:10971589 PMID:10764779 PMID:15039445 PMID:4309989 PMID:6282857 PMID:3036818 PMID:16987808 PMID:10531315 PMID:4358612 PMID:11148026 PMID:12788490 PMID:2842335 PMID:12791689 PMID:2163487 PMID:6294076 PMID:12377760 PMID:12782631 PMID:17383607 PMID:171256 PMID:16908520 }, sup=9 conf=1.0 lift=273.78
